PID,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term,loan_status
99620,2115583,,3000.0,3000.0,3000.0, 36 months,7.89%,93.86,A,A5,Visual/Audio Tech,1 year,MORTGAGE,58000.0,Not Verified,Oct-15,n,https://lendingclub.com/browse/loanDetail.action?loan_id=61360551,,debt_consolidation,Debt consolidation,330xx,FL,24.65,0.0,Aug-02,725.0,729.0,0.0,,,12.0,0.0,14362.0,49.90%,21.0,w,0.0,0.0,3194.93,3194.93,3000.0,194.93,0.0,0.0,0.0,Sep-16,2257.65,,Aug-20,694.0,690.0,0.0,,1.0,Individual,,,,0.0,0.0,240820.0,,,,,,,,,,,,28800.0,,,,3.0,20068.0,448.0,95.6,0.0,0.0,113.0,158.0,18.0,17.0,1.0,50.0,,17.0,,0.0,4.0,6.0,4.0,8.0,4.0,9.0,16.0,6.0,12.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,283149.0,43597.0,10100.0,41899.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,,N
1676459,325608,,24000.0,24000.0,24000.0, 36 months,8.81%,761.08,A,A5,Principal ,10+ years,MORTGAGE,80000.0,Not Verified,Aug-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=156752901,,credit_card,Credit card refinancing,763xx,TX,17.51,0.0,Dec-09,745.0,749.0,0.0,,,5.0,0.0,557.0,22.30%,19.0,w,16690.99,16690.99,9109.47,9109.47,7309.01,1800.46,0.0,0.0,0.0,Aug-20,761.08,Sep-20,Aug-20,674.0,670.0,0.0,,1.0,Joint App,195000.0,16.75,Not Verified,0.0,0.0,208174.0,2.0,2.0,3.0,3.0,5.0,66456.0,86.0,1.0,1.0,557.0,81.0,2500.0,0.0,6.0,4.0,5.0,41635.0,1943.0,22.3,0.0,0.0,116.0,102.0,6.0,5.0,3.0,6.0,,5.0,,0.0,1.0,1.0,2.0,2.0,10.0,2.0,6.0,1.0,5.0,0.0,0.0,0.0,5.0,100.0,0.0,0.0,0.0,216203.0,67013.0,2500.0,71703.0,15936.0,680.0,684.0,Sep-04,2.0,2.0,12.0,43.2,4.0,12.0,0.0,0.0,,N,,,,,,,,,,,,,,,N,,,,,,,N
1192524,334066,,10000.0,10000.0,10000.0, 36 months,10.33%,324.23,B,B1,GENERAL WAREHOUSE,10+ years,MORTGAGE,45000.0,Not Verified,Aug-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=156425688,,debt_consolidation,Debt consolidation,461xx,IN,23.33,0.0,Jun-06,720.0,724.0,0.0,30.0,,11.0,0.0,2531.0,32.90%,21.0,w,7002.98,7002.98,3885.02,3885.02,2997.02,888.0,0.0,0.0,0.0,Aug-20,324.23,Sep-20,Aug-20,759.0,755.0,0.0,,1.0,Individual,,,,0.0,64.0,135519.0,0.0,2.0,1.0,1.0,12.0,29961.0,85.0,0.0,2.0,816.0,72.0,7700.0,3.0,0.0,8.0,3.0,12320.0,2926.0,39.0,0.0,0.0,158.0,146.0,15.0,12.0,1.0,15.0,,12.0,,0.0,4.0,5.0,4.0,4.0,12.0,7.0,7.0,5.0,11.0,0.0,0.0,0.0,1.0,90.5,0.0,0.0,0.0,150310.0,32492.0,4800.0,35450.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,,N
2230019,775123,,5000.0,5000.0,5000.0, 36 months,6.67%,153.64,A,A2,Sr Analyst,2 years,RENT,76000.0,Not Verified,Sep-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=140734816,,debt_consolidation,Debt consolidation,190xx,PA,28.47,0.0,Nov-05,780.0,784.0,1.0,,,13.0,0.0,6136.0,9.10%,19.0,w,0.0,0.0,5133.402472,5133.4,5000.0,133.4,0.0,0.0,0.0,Feb-19,4389.73,,May-19,774.0,770.0,0.0,,1.0,Individual,,,,0.0,0.0,298668.0,1.0,4.0,2.0,3.0,11.0,132942.0,84.0,1.0,1.0,2044.0,36.0,67600.0,1.0,2.0,2.0,4.0,22974.0,60001.0,9.2,0.0,0.0,115.0,154.0,5.0,5.0,2.0,5.0,,5.0,,0.0,7.0,8.0,7.0,9.0,7.0,8.0,10.0,8.0,13.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,367844.0,139078.0,66100.0,131360.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,,N
452696,1227286,,12000.0,12000.0,12000.0, 36 months,15.05%,416.28,C,C4,Fire Safety Director ,< 1 year,RENT,72000.0,Source Verified,Oct-17,n,https://lendingclub.com/browse/loanDetail.action?loan_id=121326836,,other,Other,112xx,NY,10.93,0.0,Jun-10,665.0,669.0,1.0,,,16.0,0.0,13406.0,56.10%,21.0,w,0.0,0.0,12248.163340000001,12248.16,12000.0,248.16,0.0,0.0,0.0,Nov-17,12268.23,,Jan-20,669.0,665.0,0.0,,1.0,Individual,,,,0.0,0.0,17986.0,2.0,2.0,1.0,2.0,6.0,4580.0,53.0,1.0,2.0,3999.0,55.0,23900.0,2.0,0.0,1.0,4.0,1285.0,7714.0,61.0,0.0,0.0,72.0,88.0,2.0,2.0,0.0,27.0,,6.0,,0.0,8.0,11.0,11.0,13.0,4.0,14.0,17.0,11.0,16.0,0.0,0.0,0.0,2.0,100.0,66.7,0.0,0.0,32567.0,17986.0,19800.0,8667.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,,N
806364,1029084,,15000.0,15000.0,15000.0, 36 months,19.42%,553.04,D,D3,GIS Technician,4 years,MORTGAGE,52000.0,Verified,Mar-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=130713949,,debt_consolidation,Debt consolidation,666xx,KS,24.19,0.0,Dec-99,675.0,679.0,1.0,41.0,,11.0,0.0,10594.0,67.50%,19.0,w,2400.0,2400.0,17197.09,17197.09,12600.0,4597.09,0.0,0.0,0.0,Aug-20,757.72,Sep-20,Aug-20,709.0,705.0,0.0,60.0,1.0,Individual,,,,0.0,0.0,169495.0,0.0,6.0,0.0,2.0,17.0,18117.0,55.0,0.0,0.0,3489.0,59.0,15700.0,4.0,0.0,2.0,3.0,15409.0,16.0,99.7,0.0,0.0,219.0,92.0,28.0,10.0,1.0,28.0,60.0,5.0,60.0,5.0,2.0,4.0,2.0,3.0,12.0,4.0,6.0,4.0,11.0,0.0,0.0,0.0,1.0,68.4,100.0,0.0,0.0,190934.0,28711.0,5500.0,32861.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,,N
1287501,1325172,,20000.0,20000.0,20000.0, 60 months,12.62%,451.19,C,C1,Sales Manager,2 years,OWN,85000.0,Not Verified,Aug-17,n,https://lendingclub.com/browse/loanDetail.action?loan_id=115387316,,home_improvement,Home improvement,400xx,KY,21.33,6.0,Nov-01,755.0,759.0,0.0,14.0,,8.0,0.0,2205.0,3.40%,37.0,w,9874.99,9874.99,15777.63,15777.63,10125.01,5652.62,0.0,0.0,0.0,Jul-20,451.19,Sep-20,Aug-20,724.0,720.0,0.0,,1.0,Individual,,,,0.0,0.0,66643.0,2.0,3.0,3.0,3.0,4.0,64438.0,89.0,1.0,2.0,2085.0,48.0,65300.0,1.0,0.0,10.0,5.0,8330.0,63095.0,3.4,0.0,0.0,138.0,189.0,5.0,4.0,2.0,48.0,15.0,9.0,15.0,0.0,2.0,2.0,5.0,11.0,15.0,5.0,20.0,2.0,8.0,0.0,0.0,0.0,4.0,83.8,0.0,0.0,0.0,137731.0,66643.0,65300.0,72431.0,,,,,,,,,,,,,,,,,,,451.19,,,,,,,311.55597,10061.93,451.19,N,,,,,,,Y
1690770,445033,,2500.0,2500.0,2500.0, 36 months,20.00%,92.91,D,D2,Certified MN Appraiser/Secretary,10+ years,MORTGAGE,45000.0,Source Verified,May-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=152086739,,major_purchase,Major purchase,564xx,MN,17.25,0.0,Nov-00,660.0,664.0,0.0,72.0,,16.0,0.0,10719.0,87.10%,24.0,w,0.0,0.0,2589.019619,2589.02,2500.0,89.02,0.0,0.0,0.0,Jul-19,2498.89,,Aug-20,669.0,665.0,0.0,72.0,1.0,Individual,,,,0.0,0.0,120277.0,0.0,2.0,1.0,1.0,10.0,3993.0,44.0,0.0,3.0,1175.0,69.0,12300.0,1.0,1.0,2.0,4.0,8018.0,452.0,93.8,0.0,0.0,175.0,222.0,17.0,10.0,3.0,17.0,72.0,10.0,72.0,3.0,8.0,11.0,8.0,11.0,4.0,13.0,17.0,11.0,16.0,0.0,0.0,0.0,1.0,87.5,100.0,0.0,0.0,126205.0,14712.0,7300.0,9000.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,,N
1141503,2343595,,19300.0,19300.0,19300.0, 60 months,19.52%,506.2,E,E3,assisstant store manager,2 years,OWN,53660.0,Source Verified,Apr-15,n,https://lendingclub.com/browse/loanDetail.action?loan_id=44115928,,debt_consolidation,Debt consolidation,074xx,NJ,21.27,0.0,Mar-08,670.0,674.0,2.0,24.0,,19.0,0.0,16636.0,48.10%,31.0,f,0.0,0.0,23629.830009999998,23629.83,19300.0,4329.83,0.0,0.0,0.0,Jun-16,17070.16,,Feb-17,659.0,655.0,0.0,,1.0,Individual,,,,0.0,0.0,22404.0,,,,,,,,,,,,34600.0,,,,5.0,1245.0,11532.0,52.7,0.0,0.0,45.0,84.0,6.0,6.0,0.0,8.0,,6.0,24.0,0.0,5.0,7.0,7.0,10.0,3.0,17.0,28.0,7.0,19.0,0.0,0.0,0.0,3.0,96.8,57.1,0.0,0.0,51172.0,22404.0,24400.0,16572.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,,N
2062903,2016288,,18000.0,18000.0,18000.0, 60 months,10.78%,389.4,B,B4,Financial Aid Tech,10+ years,RENT,65000.0,Not Verified,Dec-15,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67695362,,debt_consolidation,Debt consolidation,910xx,CA,32.5,0.0,Jan-94,700.0,704.0,0.0,,,5.0,0.0,48350.0,98.40%,11.0,w,0.0,0.0,23092.46561,23092.47,18000.0,5092.47,0.0,0.0,0.0,Jan-20,17.22,,Aug-20,694.0,690.0,0.0,,1.0,Individual,,,,0.0,0.0,61827.0,0.0,1.0,0.0,1.0,14.0,11309.0,86.0,0.0,0.0,40674.0,73.0,48800.0,0.0,0.0,0.0,1.0,15457.0,450.0,98.4,0.0,0.0,14.0,263.0,26.0,14.0,0.0,93.0,,,,0.0,2.0,2.0,2.0,5.0,1.0,3.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,70087.0,61827.0,48800.0,13200.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,,N
